Data;Hora;Moeda;Qtd;Tipo;Status
2021-08-20;09:38:40;ADA;5493,28;SAÍDA;Para Carteira Externa
2021-08-27;13:04:40;USDC;1881,5;SAÍDA;Para Carteira Externa
2021-08-28;09:36:04;ADA;7482,5;ENTRADA;Origem Externa
2021-08-28;09:58:42;USDC;20015,6116;SAÍDA;Para Carteira Externa
2021-09-06;17:28:32;ADA;10010,0;ENTRADA;Origem Externa
2021-09-06;17:52:40;USDC;20027,367938;SAÍDA;Para Carteira Externa
2021-09-06;18:10:44;USDT;4237,3407;SAÍDA;Para Carteira Externa
2021-09-09;12:22:32;ADA;4000,0;ENTRADA;Origem Externa
2021-09-09;13:32:40;USDC;5080,0;SAÍDA;Para Carteira Externa
2021-09-10;19:02:32;ADA;14888,0;ENTRADA;Origem Externa
2021-09-10;23:46:36;EGLD;0,5;ENTRADA;Origem Externa
2021-09-10;23:56:36;EGLD;36,43490175;ENTRADA;Origem Externa
2021-09-12;09:10:44;USDT;4830,230375;SAÍDA;Para Carteira Externa
2021-09-12;19:22:32;ADA;10000,0;ENTRADA;Origem Externa
2021-09-14;11:36:42;XRP;11110,748;SAÍDA;Para Carteira Externa
2021-09-18;22:44:36;USDC;1250,0;ENTRADA;Origem Externa
2021-09-18;22:50:14;USDC;1225,0;SAÍDA;Para Carteira Externa
2021-10-02;17:00:50;ADA;15000,0;ENTRADA;Origem Externa
2021-10-05;07:50:36;USDC;38762,979538;ENTRADA;Origem Externa
2021-10-05;08:41:42;USDC;16925,0;SAÍDA;Para Carteira Externa
2021-10-05;09:23:44;BTC;0,224;SAÍDA;Para Carteira Externa
2021-10-06;07:50:44;USDT;9210,320614;SAÍDA;Para Carteira Externa
2021-10-06;19:23:48;BTC;0,001;SAÍDA;Para Carteira Externa
2021-10-06;19:45:48;BTC;0,145;SAÍDA;Para Carteira Externa
2021-10-06;20:21:48;BTC;0,11410328;SAÍDA;Para Carteira Externa
2021-10-10;06:42:04;ADA;10000,0;ENTRADA;Origem Externa
2021-10-11;08:19:40;LUNA;5,02;SAÍDA;Para Carteira Externa
2021-10-11;11:56:40;LUNA;468,5;SAÍDA;Para Carteira Externa
2021-10-13;14:50:10;STX;1097,222039;ENTRADA;Origem Externa
2021-10-14;06:48:36;USDC;37,3;ENTRADA;Origem Externa
2021-10-15;22:32:32;ADA;10000,0;ENTRADA;Origem Externa
2021-10-15;22:50:40;LUNA;347,76814;SAÍDA;Para Carteira Externa
2021-10-15;23:00:48;XRP;7000,5;SAÍDA;Para Carteira Externa
2021-10-16;11:56:32;ADA;6712,0;ENTRADA;Origem Externa
2021-10-16;15:30:52;SOL;92,01;SAÍDA;Para Carteira Externa
2021-10-18;07:42:32;ADA;20000,0;ENTRADA;Origem Externa
2021-10-19;10:38:32;ADA;4989,0;ENTRADA;Origem Externa
2021-10-19;16:12:32;ADA;50000,0;ENTRADA;Origem Externa
2021-10-19;17:15:42;BTC;0,108;SAÍDA;Para Carteira Externa
2021-10-19;21:00:54;BTC;0,391;SAÍDA;Para Carteira Externa
2021-10-21;17:13:42;USDT;2027,3295;SAÍDA;Para Carteira Externa
2021-10-21;19:16:44;USDC;8025,0;SAÍDA;Para Carteira Externa
2021-10-21;19:38:40;LUNA;151,0;SAÍDA;Para Carteira Externa
2021-10-21;19:41:40;USDT;4051,6838;SAÍDA;Para Carteira Externa
2021-10-23;12:22:44;ETH;1,7956924;SAÍDA;Para Carteira Externa
2021-10-23;12:24:42;BTC;0,11828815;SAÍDA;Para Carteira Externa
2021-10-24;07:06:40;USDT;10737,4176;SAÍDA;Para Carteira Externa
